engels	hypernym	nederlands	nederlands_alt	cat_en	cat_nl	uitspraak	notitie
Semuanya, lizardfolk deity of survival	Non-human deities	Semuanya, hagedissenvolkgod van overleving		gods	goden		
Skerrit, centaur and satyr god of nature	Non-human deities	Skerrit, centaur- en satyrengod van de natuur		gods	goden		
Skoraeus Stonebones, god of stone giants and art	Non-human deities	Skoraeus Stenenbeen, god van steenreuzen en kunst		gods	goden		
Surtur, god of fire giants and craft	Non-human deities	Surtur, god van vuurreuzen en ambacht		gods	goden		
Thrym, god of frost giants and strength	Non-human deities	Thrym, god van ijsreuzen en kracht		gods	goden		
Tiamat, dragon goddess of evil	Non-human deities	Tiamat, drakengodin van het kwaad		gods	goden		
Yondalla, halfling goddess of fertility and protection	Non-human deities	Yondalla, halvelingengod van vruchtbaarheid en bescherming		gods	goden		
Adamantine armour		adamantinen harnas		magic items	magische voorwerpen		
Alchemy jug		alchemiekruik		magic items	magische voorwerpen		
Amulet of health		amulet van gezondheid		magic items	magische voorwerpen		
Amulet of proof against detection and location		amulet van bescherming tegen detectie en locatie		magic items	magische voorwerpen		
Amulet of the planes		amulet van de sferen		magic items	magische voorwerpen		
Animated shield		geanimeerd schild		magic items	magische voorwerpen		
Apparatus of Kwalish		appraat van Kwalisch		magic items	magische voorwerpen		
Armour of invulnerability		harnas van onkwetsbaarheid		magic items	magische voorwerpen		
Armour of resistance		harnas van weerstand		magic items	magische voorwerpen		
Armour of vulnerability		harnas van kwetsbaarheid		magic items	magische voorwerpen		
Arrow-catching shield		pijlenvangend schild		magic items	magische voorwerpen		
Arrow of slaying		pijl van slachting		magic items	magische voorwerpen		
Bag of beans		bonenzak		magic items	magische voorwerpen		
Bag of devouring		tas van verslinding		magic items	magische voorwerpen		
Bag of holding		tas van opslag		magic items	magische voorwerpen		
Bag of tricks		trukenzak		magic items	magische voorwerpen		
Bead of force		kraal van kracht		magic items	magische voorwerpen		
Belt of dwarvenkind		riem van dwergendom		magic items	magische voorwerpen		
Belt of giant strength		riem van reuzekracht		magic items	magische voorwerpen		
Berserker axe		berserkerbijl		magic items	magische voorwerpen		
Boots of elvenkind		laarzen van elvendom		magic items	magische voorwerpen		
Boots of levitation		laarzen van levitatie		magic items	magische voorwerpen		
Boots of speed		laarzen van snelheid		magic items	magische voorwerpen		
Boots of striding and springing		laarzen van stappen en springen		magic items	magische voorwerpen		
Boots of the winterlands		laarzen van de winterlanden		magic items	magische voorwerpen		
Bowl of commanding water elementals		kom van gezag over waterelementalen		magic items	magische voorwerpen		
Bracers of archery		armbeschermers van boogschutterij		magic items	magische voorwerpen		
Braces of defense		armbeschermers van verweer		magic items	magische voorwerpen		
Brazier of commanding fire elementals		korf van gezag over vuurelementalen		magic items	magische voorwerpen		
Brooch of shielding		broche van behoeding		magic items	magische voorwerpen		
Broom of flying		vliegende bezem		magic items	magische voorwerpen		
Candle of invocation		kaars van aanroeping		magic items	magische voorwerpen		
Cap of water breathing		kap van water ademen		magic items	magische voorwerpen		
Cape of the mountebank		cape van de kwakzalver		magic items	magische voorwerpen		
Carpet of flying		vliegend tapijt		magic items	magische voorwerpen		
Censer of controlling air elementals		wierookvat van gezag over luchtelementalen (evt. thuribulum)		magic items	magische voorwerpen		
Chime of opening		openend klokkenspel		magic items	magische voorwerpen		
Circlet of blasting		diadeem van verschroeiing		magic items	magische voorwerpen		
Cloak of arachnida		mantel van arachnida		magic items	magische voorwerpen		
Cloak of displacement		mantel van misplaatsing		magic items	magische voorwerpen		
Cloak of elvenkind		mantel van elvendom		magic items	magische voorwerpen		
Cloak of invisibility		mantel van onzichtbaarheid		magic items	magische voorwerpen		
Cloak of protection		mantel van bescherming		magic items	magische voorwerpen		
Cloak of the bat		mantel van de vleermuis		magic items	magische voorwerpen		
Cloak of the manta ray		mantel van de duivelsrog		magic items	magische voorwerpen		
crystall ball		glazen bol		magic items	magische voorwerpen		
crystal ball of mind reading	crystall ball	glazen bol van gedachten lezen		magic items	magische voorwerpen		
crystal ball of telepathy	crystall ball	glazen bol van telepathie		magic items	magische voorwerpen		
crystal ball of true seeing	crystall ball	glazen bol van waarzicht		magic items	magische voorwerpen		
Cube of force		kubus van kracht		magic items	magische voorwerpen		
Cubic gate		kubische poort		magic items	magische voorwerpen		
Daern’s instant fortress		Daerns kant-en-klaar kasteel		magic items	magische voorwerpen		
Dagger of venom		gifdolk		magic items	magische voorwerpen		
Dancing sword		dansend zwaard		magic items	magische voorwerpen		
Decanter of endless water		karaf van eindeloos water		magic items	magische voorwerpen		
Deck of illusions		kaartspel van illusies		magic items	magische voorwerpen		
deck of many things		kaartspel van vele dingen		magic items	magische voorwerpen		
balance	deck of many things	balans		magic items	magische voorwerpen		
comet	deck of many things	komeet		magic items	magische voorwerpen		
donjon	deck of many things	donjon		magic items	magische voorwerpen		
euryale	deck of many things	euryale		magic items	magische voorwerpen		
the fates	deck of many things	het lot		magic items	magische voorwerpen		
flames	deck of many things	vlammen		magic items	magische voorwerpen		
fool	deck of many things	dwaas		magic items	magische voorwerpen		
gem	deck of many things	edelsteen		magic items	magische voorwerpen		
idiot	deck of many things	idioot		magic items	magische voorwerpen		
jester	deck of many things	nar		magic items	magische voorwerpen		
key	deck of many things	sleutel		magic items	magische voorwerpen		
knight	deck of many things	ridder		magic items	magische voorwerpen		
moon	deck of many things	maan		magic items	magische voorwerpen		
rogue	deck of many things	smiecht		magic items	magische voorwerpen		
ruin	deck of many things	ruïne		magic items	magische voorwerpen		
skull	deck of many things	schedel		magic items	magische voorwerpen		
star	deck of many things	stel		magic items	magische voorwerpen		
sun	deck of many things	zon		magic items	magische voorwerpen		
talons	deck of many things	klauwen		magic items	magische voorwerpen		
throne	deck of many things	troon		magic items	magische voorwerpen		
vizier	deck of many things	vizier		magic items	magische voorwerpen		
the void	deck of many things	de leegte		magic items	magische voorwerpen		
Defender		verdediger		magic items	magische voorwerpen		
Demon armour		demonenharnas		magic items	magische voorwerpen		
Dimensional shackles		dimensionale ketenen		magic items	magische voorwerpen		
Dragon scale mail		drakenschubbenharnas		magic items	magische voorwerpen		
Dragon slayer		drakendoder		magic items	magische voorwerpen		
Driftglobe		zweefglobe		magic items	magische voorwerpen		
Dust of disappearance		stof van verdwijning		magic items	magische voorwerpen		
Dust of dryness		stof van droogte		magic items	magische voorwerpen		
Dust of sneezing and choking		stof van niezen en stikken		magic items	magische voorwerpen		
Dwarven plate		dwergenplaat		magic items	magische voorwerpen		
Dwarven thrower		dwergenwerper		magic items	magische voorwerpen		
Efreeti bottle		efreetifles		magic items	magische voorwerpen		
Efreeti chain		efreetiketen		magic items	magische voorwerpen		
Elemental gem		elementale edelsteen		magic items	magische voorwerpen		
Elixir of health		elixer van gezondheid		magic items	magische voorwerpen		
Elven chain		maliënkolder van de elven		magic items	magische voorwerpen		
Eversmoking bottle		altijdrokende fles		magic items	magische voorwerpen		
Eyes of charming		ogen van bezwering		magic items	magische voorwerpen		
Eyes of minute seeing		ogen van minutieus zicht		magic items	magische voorwerpen		
Eyes of the eagle		ogen van de adelaar		magic items	magische voorwerpen		
figurine of wondrouw power		beeldje van wonderlijke macht		magic items	magische voorwerpen		
Bronze griffon	figurine of wondrouw power	bronzen griffioen		magic items	magische voorwerpen		
Ebony fly	figurine of wondrouw power	ebben vlieg		magic items	magische voorwerpen		
Golden lions	figurine of wondrouw power	gouden leeuwen		magic items	magische voorwerpen		
Ivory goats	figurine of wondrouw power	ivoren geiten		magic items	magische voorwerpen		
Marble elephant	figurine of wondrouw power	marmeren olifant		magic items	magische voorwerpen		
Obsidian steed	figurine of wondrouw power	obsidianen ros		magic items	magische voorwerpen		
Onyx dog	figurine of wondrouw power	onyxen hond		magic items	magische voorwerpen		
Serpentine owl	figurine of wondrouw power	serpentijnen uil		magic items	magische voorwerpen		
Silver raven	figurine of wondrouw power	zilveren raaf		magic items	magische voorwerpen		
Flame tongue		vlammentong		magic items	magische voorwerpen		
Folding boat		opvouwboot		magic items	magische voorwerpen		
Frost brand		vorstmerk		magic items	magische voorwerpen		
Gauntlets of ogre power		pantserhandschoenen van ogermacht		magic items	magische voorwerpen		
Gem of brightness		lichtsteen		magic items	magische voorwerpen		
Gem of seeing		steen van zicht		magic items	magische voorwerpen		
Giant slayer		reuzendoder		magic items	magische voorwerpen		
Glamoured studded leather		betoverend beslagen leer		magic items	magische voorwerpen		
Gloves of missile snaring		handschoenen van pijlenstrikken		magic items	magische voorwerpen		
Gloves of swimming and climbing		handschoenen van zwemmen en klimmen		magic items	magische voorwerpen		
Gloves of thievery		handschoenen van diefstal		magic items	magische voorwerpen		
Goggles of night		bril van de nacht		magic items	magische voorwerpen		
Hammer of thunderbolts		hamer van donderschichten		magic items	magische voorwerpen		
Hat of disguise		vermommingshoed		magic items	magische voorwerpen		
Headband of intellect		hoofdband van intellect		magic items	magische voorwerpen		
Helm of brilliance		helm van helderheid		magic items	magische voorwerpen		
Helm of comprehending languages		helm van talen begrijpen		magic items	magische voorwerpen		
Helm of telepathy		helm van telepathie		magic items	magische voorwerpen		
Helm of teleportation		helm van teleportatie		magic items	magische voorwerpen		
Heward’s handy haversack		Heuvaards handige knapzak		magic items	magische voorwerpen		
Holy avenger		heilige wreker		magic items	magische voorwerpen		
Horn of blasting		donderhoorn		magic items	magische voorwerpen		
Horn of valhalla		hoorn van valhalla		magic items	magische voorwerpen		
Horseshoes of a zephyr		hoefijzers van een zefier		magic items	magische voorwerpen		
Horeshoes of speed		hoefijzers van snelheid		magic items	magische voorwerpen		
Immovable rod		onbeweegbare roede		magic items	magische voorwerpen		
instrument of the bards		instrument van de barden		magic items	magische voorwerpen		
Anstruth harp	instrument of the bards	harp van Anstroet		magic items	magische voorwerpen		
Canaith mandolin	instrument of the bards	mandoline van Canaïth		magic items	magische voorwerpen		
Cli lyre	instrument of the bards	lier van Cli		magic items	magische voorwerpen		
Doss lute	instrument of the bards	luit van Dos		magic items	magische voorwerpen		
Fochlucan bandore	instrument of the bards	bandura van Fochlucan		magic items	magische voorwerpen		
Mac-Fuirmidh cittern	instrument of the bards	citer van Mac-Fuirmidh		magic items	magische voorwerpen		
Ollamh harp	instrument of the bards	harp van Ollamh		magic items	magische voorwerpen		
Ioun stone		steen van Ioun		magic items	magische voorwerpen		
Iron bands of Bilarro		ijzeren banden van Bilarro		magic items	magische voorwerpen		
Iron flask		ijzeren flacon		magic items	magische voorwerpen		
Javelin of lightning		bliksemspeer		magic items	magische voorwerpen		
Keoghtom’s ointment		zalf van Keoghtom		magic items	magische voorwerpen		
Lantern of revealing		lantaarn van onthulling		magic items	magische voorwerpen		
Luck blade		kling van geluk		magic items	magische voorwerpen		
Mace of disruption		knots van verstoring		magic items	magische voorwerpen		
Mace of smiting		knots van slagen		magic items	magische voorwerpen		
Mace of terror		knots van verschrikking		magic items	magische voorwerpen		
Mantle of spell resistance		mantel van spreukenweerstand		magic items	magische voorwerpen		
Manual of bodily health		handleiding van lichamelijke gezondheid		magic items	magische voorwerpen		
Manual of golems		handleiding van golems		magic items	magische voorwerpen		
Manual of quickness of action		handleiding van vlugge handeling		magic items	magische voorwerpen		
Mariner’s armour		maniniersharnas		magic items	magische voorwerpen		
Medallion of thoughts		medaille van gedachten		magic items	magische voorwerpen		
Mirror of life trapping		spiegel van levensverstrikking		magic items	magische voorwerpen		
Mithral armour		mithralharnas		magic items	magische voorwerpen		
Necklace of adaptation		ketting van aanpassing		magic items	magische voorwerpen		
Necklace of fireballs		ketting van vurrballen		magic items	magische voorwerpen		
Necklace of prayer beads		ketting van gebedskralen		magic items	magische voorwerpen		
Nine lives stealer		negenlevensdief		magic items	magische voorwerpen		
Nolzur’s marvelous pigments		Nolzurs prachtige pigmenten		magic items	magische voorwerpen		
Oathbow		eedboog		magic items	magische voorwerpen		
Oil of etherealnes		olie van etherische staat		magic items	magische voorwerpen		
Oil of sharpness		olie van geslepenheid		magic items	magische voorwerpen		
Oil of slipperiness		olie van glibberigheid		magic items	magische voorwerpen		
Pearl of power		parel van macht		magic items	magische voorwerpen		
Periapt of health		periapt van gezondheid		magic items	magische voorwerpen		
Periapt of proof against poison		periapt van bescherming tegen gif		magic items	magische voorwerpen		
Periapt of wound closure		periapt van wondensluiting		magic items	magische voorwerpen		
Philter of love		filtrum van liefde		magic items	magische voorwerpen		
Pipes of haunting		spookfluit		magic items	magische voorwerpen		
Pipes of the sewers		rioolfluit		magic items	magische voorwerpen		
Plate armour of etherealness		etherisch plaatharnas		magic items	magische voorwerpen		
Portable hole		draagbaar gat		magic items	magische voorwerpen		
Potion of animal friendship		elixer van dierenvriendschap		magic items	magische voorwerpen		
Potion of clairvoyance		elixer van helderziendheid		magic items	magische voorwerpen		
Potion of climbing		elixer van klimmen		magic items	magische voorwerpen		
Potion of diminution		elixer van verkleining		magic items	magische voorwerpen		
Potion of fire breath		elixer van vuurspuwen		magic items	magische voorwerpen		
Potion of flying		elixer van vliegen		magic items	magische voorwerpen		
Potion of gaseous form		elixer van gasvorm		magic items	magische voorwerpen		
Potion of giant strength		elixer van reuzenkracht		magic items	magische voorwerpen		
Potion of growth		elixer van groei		magic items	magische voorwerpen		
Potion of healing		elixer van heling		magic items	magische voorwerpen		
Potion of heroism		elixer van heldenmoed		magic items	magische voorwerpen		
Potion of invisibility		elixer van onzichtbaarheid		magic items	magische voorwerpen		
Potion of invulnerability		elixer van onkwetsbaarheid		magic items	magische voorwerpen		
Potion of longevity		elixer van langlevendheid		magic items	magische voorwerpen		
Potion of mind reading		elixer van gedachtenlezen		magic items	magische voorwerpen		
Potion of poison		elixer van vergif		magic items	magische voorwerpen		
Potion of resistance		elixer van weerstand		magic items	magische voorwerpen		
Potion of speed		elixer van snelheid		magic items	magische voorwerpen		
Potion of vitality		elixer van vitaliteit		magic items	magische voorwerpen		
Potion of water breathing		elixer van wateradem		magic items	magische voorwerpen		
Quaal’s feather token		Quaal's verenteken		magic items	magische voorwerpen		
Anchor	Quaal’s feather token	anker		magic items	magische voorwerpen		
Bird	Quaal’s feather token	vogel		magic items	magische voorwerpen		
Fan	Quaal’s feather token	waaier		magic items	magische voorwerpen		
Swan boat	Quaal’s feather token	zwanenboot		magic items	magische voorwerpen		
Tree	Quaal’s feather token	boom		magic items	magische voorwerpen		
Whip	Quaal’s feather token	zweep		magic items	magische voorwerpen		
Quiver of Ehlonna		pijlenkoker van Ehlonna		magic items	magische voorwerpen		
Ring of animal influence		ring van diereninvloed		magic items	magische voorwerpen		
Ring of djinni summoning		ring van djinni-oproeping		magic items	magische voorwerpen		
Ring of elemental command		ring van elementaal bevel		magic items	magische voorwerpen		
Ring of evasion		ring van ontwijking		magic items	magische voorwerpen		
Ring of feather falling		ring van verenval		magic items	magische voorwerpen		
Ring of free action		ring van vrije actie		magic items	magische voorwerpen		
Ring of invisibility		ring van onzichtbaarheid		magic items	magische voorwerpen		
Ring of jumping		ring van sprong		magic items	magische voorwerpen		
Ring of mind shielding		ring van #		magic items	magische voorwerpen		
Ring of protection		ring van bescherming		magic items	magische voorwerpen		
Ring of regeneration		ring van regeneratie		magic items	magische voorwerpen		
Ring of resistance		ring van weerstand		magic items	magische voorwerpen		
Ring of shooting stars		ring van vallende sterren		magic items	magische voorwerpen		
Ring of spell storing		ring van spreukopslag		magic items	magische voorwerpen		
Ring of spell turning		ring van spreukomkering		magic items	magische voorwerpen		
Ring of swimming		ring van zwemmen		magic items	magische voorwerpen		
Ring of the ram		ring van de ram		magic items	magische voorwerpen		
Ring of three wishes		ring van drie wensen		magic items	magische voorwerpen		
Ring of warmth		ring van warmte		magic items	magische voorwerpen		
Ring of water walking		ring van waterloop		magic items	magische voorwerpen		
Ring of x-ray vision		ring van röntgenzicht		magic items	magische voorwerpen		
Robe of eyes		gewaad van ogen		magic items	magische voorwerpen		
Robe of scintillating colours		gewaad van flikkerende kleuren		magic items	magische voorwerpen		
Robe of stars		gewaad van sterren		magic items	magische voorwerpen		
Robe of the archmagi		gewaad van de aartsmagi		magic items	magische voorwerpen		
Robe of useful things		gewaad van nuttige dingen		magic items	magische voorwerpen		
Robe of absorption		gewaad van absorbering		magic items	magische voorwerpen		
Rod of alertness		roede van alterheid		magic items	magische voorwerpen		
Rod of lordly might		roede van voorname macht		magic items	magische voorwerpen		
Rod of the pact keeper		roede van de pactbewaarder		magic items	magische voorwerpen		
Rod of resurrection		roede van herrijzing		magic items	magische voorwerpen		
Rod of rulership		roede van heerschappij		magic items	magische voorwerpen		
Rod of security		roede van veiligheid		magic items	magische voorwerpen		
Rope of climbing		klimtouw		magic items	magische voorwerpen		
Rope of entanglement		touw van verstrikking		magic items	magische voorwerpen		
Saddle of the cavalier		ruiterszadel		magic items	magische voorwerpen		
Scarab of protection		scarabee van bescherming		magic items	magische voorwerpen		
Scimitar of speed		sabel van snelheid		magic items	magische voorwerpen		
Scroll of protection		rol van bescherming		magic items	magische voorwerpen		
Sending stones		zendstenen		magic items	magische voorwerpen		
Sentinel shield		wachtsschild		magic items	magische voorwerpen		
Shield of missile attraction		schild van pijlenaantrekking		magic items	magische voorwerpen		
Slippers of spider climbing		sloffen van spinnengeklim		magic items	magische voorwerpen		
Sovereign glue		koningslijm		magic items	magische voorwerpen		
Spell scroll		spreukenrol		magic items	magische voorwerpen		
Spellguard shield		spreukbewakend schild		magic items	magische voorwerpen		
Sphere of annihilation		bol van vernietiging		magic items	magische voorwerpen		
Staff of charming		staf van bezwering		magic items	magische voorwerpen		
Staff of fire		vuurstaf		magic items	magische voorwerpen		
Staff of frost		vorststaf		magic items	magische voorwerpen		
Staff of healing		staf van heling		magic items	magische voorwerpen		
Staff of power		staf van macht		magic items	magische voorwerpen		
Staff of striking		staf van slagen		magic items	magische voorwerpen		
Staff of swarming insects		staf van zwermende insecten		magic items	magische voorwerpen		
Staff of the adder		staf van de adder		magic items	magische voorwerpen		
Staff of the magi		staf van de mai		magic items	magische voorwerpen		
Staff of the python		staf van de python		magic items	magische voorwerpen		
Staff of the woodlands		staf van het woud		magic items	magische voorwerpen		
Staff of thunder and lightning		staf van donder en bliksem		magic items	magische voorwerpen		
Staff of withering		staf van verwelking		magic items	magische voorwerpen		
Stone of controlling earth elementals		steen van gezag over aarde-elementalen		magic items	magische voorwerpen		
Stone of good luck (luckstone)		steen van geluk (gelukssteen)		magic items	magische voorwerpen		
Sun blade		zonnekling		magic items	magische voorwerpen		
sword of answering		antwoordzwaard		magic items	magische voorwerpen		
Answerer	sword of answering	antwoorder		magic items	magische voorwerpen		
Back talker	sword of answering	tegenspreker		magic items	magische voorwerpen		
Concluder	sword of answering	afsluiter		magic items	magische voorwerpen		
Last quip	sword of answering	laatste woord		magic items	magische voorwerpen		
Rebutter	sword of answering	weerlegger		magic items	magische voorwerpen		
Replier	sword of answering	verweerder		magic items	magische voorwerpen		
Retorter	sword of answering	weerwoord		magic items	magische voorwerpen		
Scather	sword of answering	bespotter		magic items	magische voorwerpen		
Squelcher	sword of answering	smoorder		magic items	magische voorwerpen		
Sword of life stealing		zwaard van levensdiefstal		magic items	magische voorwerpen		
Sword of sharpness		zwaard van scherpte		magic items	magische voorwerpen		
Sword of vengeance		zwaard van wraak		magic items	magische voorwerpen		
Sword of wounding		zwaard van verwonding		magic items	magische voorwerpen		
Talisman of pure good		talisman van puur goed		magic items	magische voorwerpen		
Talisman of the sphere		talisman van de bol		magic items	magische voorwerpen		
Talisman of ultimate evil		talisman van ultiem kwaad		magic items	magische voorwerpen		
Tentacle rod		tentakelroede		magic items	magische voorwerpen		
Tome of clear thought		boek van heldere gedachte		magic items	magische voorwerpen		
Tome of leadership and influence		boek van leiding en invloed		magic items	magische voorwerpen		
Tome of the stilled tongue		boek van de gestilde tong		magic items	magische voorwerpen		
Tome of understanding		boek van begrip		magic items	magische voorwerpen		
Trident of fish command		drietand van vissenbeheersing		magic items	magische voorwerpen		
Universal solvent		universeel oplosmiddel		magic items	magische voorwerpen		
Vicious weapon		venijnig wapen		magic items	magische voorwerpen		
Vorpal sword		vorpalen zwaard	gnijpend zwaard, worpel zwaard	magic items	magische voorwerpen		
Wand of binding		toverstok van binding		magic items	magische voorwerpen		
Wand of fear		toverstok van angst		magic items	magische voorwerpen		
Wand of fireballs		toverstok van vuurballen		magic items	magische voorwerpen		
Wand of lightning bolts		toverstok van bliksemschichten		magic items	magische voorwerpen		
Wand of magic detection		toverstok van magieontwaring		magic items	magische voorwerpen		
Wand of magic missiles		toverstok van magische raketten		magic items	magische voorwerpen		
Wand of paralysis		toverstok van verlamming		magic items	magische voorwerpen		
Wand of polymorph		toverstok van polymorf		magic items	magische voorwerpen		
Wand of secrets		toverstok van geheimen		magic items	magische voorwerpen		
Wand of the war mage		toverstok van de krijgsmagiër		magic items	magische voorwerpen		
Wand of wonder		toverstok van wonderlijkheden		magic items	magische voorwerpen		
Weapon of warning		wapen van waarschuwing		magic items	magische voorwerpen		
Well of many worlds		put van vele werelden		magic items	magische voorwerpen		
Wind fan		windwaaier		magic items	magische voorwerpen		
Winged boots		gevleugelde laarzen		magic items	magische voorwerpen		
Wings of flying		vleugels van vliegen		magic items	magische voorwerpen		
aarakocra		aarakocra		monsters and other creatures	monsters en andere wezens		
Aboleth		Aboleth		monsters and other creatures	monsters en andere wezens		
angels		engelen		monsters and other creatures	monsters en andere wezens		
Deva	angels	Deva		monsters and other creatures	monsters en andere wezens		
Planetar	angels	Planetar		monsters and other creatures	monsters en andere wezens		
Solar	angels	Solar		monsters and other creatures	monsters en andere wezens		
animated objects		levende objecten		monsters and other creatures	monsters en andere wezens		
Animated Armour	animated objects	Levend Harnas		monsters and other creatures	monsters en andere wezens		
Flying Sword	animated objects	Vliegend Zwaard		monsters and other creatures	monsters en andere wezens		
Rug of Smothering	animated objects	Versmorend Tapijt		monsters and other creatures	monsters en andere wezens		
Ankheg		Ankheg		monsters and other creatures	monsters en andere wezens	ˈɑŋkɛx	
Azer		Azer		monsters and other creatures	monsters en andere wezens		
Banshee		Banshee	bean sí	monsters and other creatures	monsters en andere wezens	ˈbɑnʃi	
Basilisk		Basilisk		monsters and other creatures	monsters en andere wezens		
Behir		Behir		monsters and other creatures	monsters en andere wezens	beːˈɦir	
beholders		Ontwaarders		monsters and other creatures	monsters en andere wezens		
Beholder	beholders	Ontwaarder		monsters and other creatures	monsters en andere wezens		
Death Tyrant	beholders	Doodstyran		monsters and other creatures	monsters en andere wezens		
Spectator	beholders	Toeschouwer		monsters and other creatures	monsters en andere wezens		
blights		Rotten		monsters and other creatures	monsters en andere wezens		
Needle Blight	blights	Naaldenrot		monsters and other creatures	monsters en andere wezens		
Twig Blight	blights	Twijgenrot		monsters and other creatures	monsters en andere wezens		
Vine Blight 	blights	Kruiprot		monsters and other creatures	monsters en andere wezens		
bugbears		Boekarossen	boemannen, boemberen	monsters and other creatures	monsters en andere wezens		
Bugbear	bugbears	Boekaros		monsters and other creatures	monsters en andere wezens		
Bugbear Chief	bugbears	Boekarosleider		monsters and other creatures	monsters en andere wezens		
Bulette		Bulette		monsters and other creatures	monsters en andere wezens		
Bullywug		Bulliewug		monsters and other creatures	monsters en andere wezens		
Cambion		Cambion		monsters and other creatures	monsters en andere wezens		
Carrion Crawler		Aaskruiper		monsters and other creatures	monsters en andere wezens		
Centaur		Centaur		monsters and other creatures	monsters en andere wezens		
Chimera		Chimera		monsters and other creatures	monsters en andere wezens		
Chuul		Chuulon		monsters and other creatures	monsters en andere wezens		Chuul klinkt naar mijn mening wat minder indrukwekkend in het Nederlands. De uchuulon is een variatie op de chuul, dus bij deze vertaling blijft dat een logische variatie.
Cloaker		Mantelaar		monsters and other creatures	monsters en andere wezens		
Cockatrice		Haandraak		monsters and other creatures	monsters en andere wezens		
Couatl		Couatl		monsters and other creatures	monsters en andere wezens		
Crawling Claw		Kruipende klauw		monsters and other creatures	monsters en andere wezens		
Cyclops		Cycloop		monsters and other creatures	monsters en andere wezens		
Darkmantle		Donkeremantel		monsters and other creatures	monsters en andere wezens		
Death Knight		Doodsridder		monsters and other creatures	monsters en andere wezens		
Demilich		Demiliek		monsters and other creatures	monsters en andere wezens		
demons		Demonen		monsters and other creatures	monsters en andere wezens		
Baphomet	demons	Bephomet		monsters and other creatures	monsters en andere wezens		
Demogorgon	demons	Demogorgo		monsters and other creatures	monsters en andere wezens		
Graz’zt	demons	Graz’zt		monsters and other creatures	monsters en andere wezens		
Juiblex	demons	Jzhublex		monsters and other creatures	monsters en andere wezens	ˈʒyblɛks	
Lolth	demons	Lolth		monsters and other creatures	monsters en andere wezens		
Orcus	demons	Orcus		monsters and other creatures	monsters en andere wezens		
Yeenoghu	demons	Yeenoghu		monsters and other creatures	monsters en andere wezens		
Balor	demons	Balor		monsters and other creatures	monsters en andere wezens		
Barlgura	demons	Barlgura		monsters and other creatures	monsters en andere wezens		
Chasme	demons	Chasme		monsters and other creatures	monsters en andere wezens		
Dretch	demons	Drek		monsters and other creatures	monsters en andere wezens		
Glabrezu	demons	Glabrezu		monsters and other creatures	monsters en andere wezens		
Goristro	demons	Goristro		monsters and other creatures	monsters en andere wezens		
Hezrou	demons	Hezrou		monsters and other creatures	monsters en andere wezens		
Manes	demons	Manes		monsters and other creatures	monsters en andere wezens		Ik vermoed dat de naam manes herleid is van de Romeinse manes, geesten van de doden.
Marilith	demons	Marilieth		monsters and other creatures	monsters en andere wezens		
Nalfeshnee	demons	Nalfeshnee		monsters and other creatures	monsters en andere wezens		
Quasit	demons	Quasiet		monsters and other creatures	monsters en andere wezens		
Shadow Demon	demons	Schaduwdemon		monsters and other creatures	monsters en andere wezens		
Vrock	demons	Vrok		monsters and other creatures	monsters en andere wezens		
Yoghlol	demons	Yoghlol		monsters and other creatures	monsters en andere wezens		
devils		Duivels		monsters and other creatures	monsters en andere wezens		
Lemure	devils	Lemuur		monsters and other creatures	monsters en andere wezens		
Imp	devils	Schelm		monsters and other creatures	monsters en andere wezens		
Spined Devil	devils	Doornenduivel		monsters and other creatures	monsters en andere wezens		
Bearded Devil	devils	Bebaarde Duivel		monsters and other creatures	monsters en andere wezens		
Barbed Devil	devils	Stekelduivel		monsters and other creatures	monsters en andere wezens		
Chain Devil	devils	Kettingduivel		monsters and other creatures	monsters en andere wezens		
Bone Devil	devils	Bottenduivel		monsters and other creatures	monsters en andere wezens		
Horned Devil	devils	Gehoornde Duivel		monsters and other creatures	monsters en andere wezens		
Erinyes	devils	Erinyen		monsters and other creatures	monsters en andere wezens		
Ice Devil	devils	IJsduivel		monsters and other creatures	monsters en andere wezens		
Pit Fiend	devils	Dieptevijnd		monsters and other creatures	monsters en andere wezens		
Duke/Duchess	devils	Hertog/Hertogin		monsters and other creatures	monsters en andere wezens		
Archduke/Archduchess	devils	Aartshertog/Aartshertogin		monsters and other creatures	monsters en andere wezens		
dinosaurs		Dinosauriërs		monsters and other creatures	monsters en andere wezens		
Allosaurus	dinosaurs	Allosaurus		monsters and other creatures	monsters en andere wezens		
Ankylosaurus	dinosaurs	Ankylosaurus		monsters and other creatures	monsters en andere wezens		
Plesiosaurus	dinosaurs	Plesiosaurus		monsters and other creatures	monsters en andere wezens		
Pteranodon	dinosaurs	Pteranodon		monsters and other creatures	monsters en andere wezens		
Triceratops	dinosaurs	Triceratops		monsters and other creatures	monsters en andere wezens		
Tyrannosaurus Rex	dinosaurs	Tyrannosaurus Rex		monsters and other creatures	monsters en andere wezens		
displacer beast		verschuivend beest		monsters and other creatures	monsters en andere wezens		
Doppelganger		Doppelgänger		monsters and other creatures	monsters en andere wezens		
Dracolich		Dracoliek		monsters and other creatures	monsters en andere wezens		
Shadow Dragon		Schaduwdraak		monsters and other creatures	monsters en andere wezens		
dragons		drakan		monsters and other creatures	monsters en andere wezens		
Ancient … Dragon	dragons	… Oerdraak		monsters and other creatures	monsters en andere wezens		
